Date_Run	BY	Primer	Sample	Animal	Group	Tissue	Age	Threshold	Slope	Intercept	R2	CT1	CT2	Copy_1	Copy_2	ng_RNA	CONV>ng RNA	per_ng_1	per_ng_2	Mean	Stdev	Coeff_pct	CT3	Copy_3	per_ng_3
8/23/2019	DV	AV4	6B31G	6	B31	G	13.8	0.346	-3.311	36.42	0.999	19.6	19.61	1.20E+05	1.19E+05		10	11990.00	11910.00	11950.00	57.00	0.00			
8/23/2019	DV	AV4	7B31G	7	B31	G	13.8	0.346	-3.311	36.42	0.999	19.4	19.92	1.38E+05	9.63E+04		10	13820.00	9633.00	11727.00	2961.00	0.25			
8/23/2019	DV	AV4	8B31G	8	B31	G	13.8	0.346	-3.311	36.42	0.999	15.24	15.83	2.49E+06	1.65E+06		10	248700.00	165000.00	206850.00	59185.00	0.29			
7/16/2019	DV	AV4	2B31G	2	B31	G	13.8	0.6721	-3.293	37.18	0.999	29.16	28.93	2.74E+02	3.21E+02		8.4	32.60	38.20	35.00	4.00	0.11			
7/16/2019	DV	AV4	3B31G	3	B31	G	13.8	0.6721	-3.293	37.18	0.999	19.23	19.41	2.84E+05	2.50E+05		14.7	19319.70	17034.00	18177.00	1616.00	0.09			
7/16/2019	DV	AV4	4B31G	4	B31	G	13.8	0.6721	-3.293	37.18	0.999	19.82	19.85	1.87E+05	1.84E+05		10	18700.00	18360.00	18530.00	240.00	0.01			
5/22/2019	DV	AV4	1B31G	1	B31	G	13.8	0.3245	-3.285	0	0.998	17.11	17.25	5.38E+05	4.88E+05		8.4	64035.71	58095.24	61065.48	4200.55	0.07			
5/16/2019	DV	AV4	1B31G	1	B31	G	13.8	0.1738	-3.225	0	0.999	15.54	15.41	7.60E+05	8.32E+05		8.4	90416.67	99035.71	83257.94	20325.71	0.24	16.11	"506,700"	6.03E+04
9/19/2019	DWP	AV4	9B23G	9	B23	G	16.2		-3.3	37.25		17.83	17.66	7.70E+05	8.60E+05	200	10	76640.00	86220.00	81430.00	6774.00	0.08			
10/15/2019	DWP	AV4	10B23G	10	B23	G	16.2		-3.21	37.14		30.44	30.42	1.20E+02	1.20E+02	200	10	12.00	12.00	12.00	0.00	0.01			
10/15/2019	DWP	AV4	11B23G	11	B23	G	16.2		-3.21	37.14		24.23	24.64	1.10E+04	7.90E+03	200	10	1063.00	788.00	926.00	194.00	0.21			
10/15/2019	DWP	AV4	12B23G	12	B23	G	16.2		-3.21	37.14		21.57	22.33	7.20E+04	4.20E+04	200	10	7170.00	4165.00	5668.00	2125.00	0.37			
2/24/2020	DWP	AV4	17B15G	17	B15	G	18.7	0	-3.2884	35.9018	0.9894	16.38	17.02	8.62E+05	5.52E+05	200	10	86158.00	55186.00	70672.00	21900.00	0.31			
2/24/2020	DWP	AV4	18B15G	18	B15	G	18.7	0	-3.2884	35.9018	0.9894	18.22	18.983	2.38E+05	1.40E+05	200	10	23838.00	13960.00	18899.00	6984.00	0.37			
2/24/2020	DWP	AV4	19B15G	19	B15	G	18.7	0	-3.2884	35.9018	0.9894	15.67	16.373	1.42E+06	8.68E+05	200	10	142044.00	86824.00	114434.00	39046.00	0.34			
3/19/2020	DV	AV4	1B10H	1	B10	H	11.9	0.109	-3.1	33.93	1	14.69	14.74	1.60E+06	1.54E+06	200	10	159842.00	154356.00	157099.00	3879.00	0.02			
3/19/2020	DV	AV4	2B10H	2	B10	H	11.9	0.109	-3.1	33.93	1	16.19	16.3	5.25E+05	4.85E+05	200	10	52483.00	48469.00	50476.00	2838.00	0.06			
3/19/2020	DV	AV4	3B10H	3	B10	H	11.9	0.109	-3.1	33.93	1	16.1	16.16	5.59E+05	5.38E+05	200	10	55918.00	53754.00	54836.00	1530.00	0.03			
8/23/2019	DV	AV4	5B31H	5	B31	H	13.8	0.346	-3.311	36.42	0.999	21.86	22.64	2.49E+04	1.45E+04		10	2490.00	1450.00	1970.00	735.00	0.37			
8/23/2019	DV	AV4	6B31H	6	B31	H	13.8	0.346	-3.311	36.42	0.999	22.6	22.57	1.49E+04	1.52E+04		10	1493.00	1523.00	1508.00	21.00	0.01			
8/23/2019	DV	AV4	7B31H	7	B31	H	13.8	0.346	-3.311	36.42	0.999	22.01	21.84	2.25E+04	2.53E+04		10	2252.00	2534.00	2393.00	199.00	0.08			
8/23/2019	DV	AV4	8B31H	8	B31	H	13.8	0.346	-3.311	36.42	0.999	17.64	17.85	4.70E+05	4.05E+05		10	46980.00	40520.00	43750.00	4568.00	0.10			
7/16/2019	DV	AV4	4B31H	4	B31	H	13.8	0.6721	-3.293	37.18	0.999	16.23	15.97	2.30E+06	2.77E+06		10	230100.00	277300.00	253700.00	33375.00	0.13			
9/19/2019	DWP	AV4	9B23H	9	B23	H	16.2		-3.3	37.25		20.5	19.11	1.20E+05	3.10E+05	200	10	11890.00	31470.00	21680.00	13845.00	0.64			
10/15/2019	DWP	AV4	10B23H	10	B23	H	16.2		-3.21	37.14		28.38	26.62	5.40E+02	1.90E+03	200	10	54.00	191.00	122.00	97.00	0.79			
10/15/2019	DWP	AV4	11B23H	11	B23	H	16.2		-3.21	37.14		24.91	24.65	6.50E+03	7.90E+03	200	10	653.00	786.00	719.00	94.00	0.13			
10/15/2019	DWP	AV4	12B23H	12	B23	H	16.2		-3.21	37.14		19.75	19.8	2.60E+05	2.60E+05	200	10	26460.00	25650.00	26055.00	573.00	0.02			
2/24/2020	DWP	AV4	17B15H	17	B15	H	18.7	0	-3.2884	35.9018	0.9894	15.39	15.943	1.73E+06	1.17E+06	200	10	173459.00	117347.00	145403.00	39678.00	0.27			
2/24/2020	DWP	AV4	18B15H	18	B15	H	18.7	0	-3.2884	35.9018	0.9894	16.59	16.914	7.44E+05	5.94E+05	200	10	74395.00	59437.00	66916.00	10577.00	0.16			
2/24/2020	DWP	AV4	19B15H	19	B15	H	18.7	0	-3.2884	35.9018	0.9894	16.59	17.014	7.44E+05	5.54E+05	200	10	74397.00	55429.00	64913.00	13412.00	0.21			
3/19/2020	DV	AV4	1B10I	1	B10	I	11.9	0.109	-3.1	33.93	1	25.57	25.28	4.95E+02	6.13E+02	200	10	50.00	61.00	55.00	8.00	0.15			
3/19/2020	DV	AV4	2B10I	2	B10	I	11.9	0.109	-3.1	33.93	1	27.75	26.7	9.81E+01	2.15E+02	200	10	10.00	21.00	16.00	8.00	0.53			
3/19/2020	DV	AV4	3B10I	3	B10	I	11.9	0.109	-3.1	33.93	1	29.53	29.53	2.63E+01	2.62E+01	200	10	3.00	3.00	3.00	0.00	0.00			
8/23/2019	DV	AV4	6B31I	6	B31	I	13.8	0.346	-3.311	36.42	0.999	23.7	27	6.94E+03	6.99E+02		10	694.10	69.90	382.00	441.00	1.16			
