Date_Run	BY	Primer	Sample	Animal	Group	Tissue	Age	Threshold	Slope	Intercept	R2	CT1	CT2	Copy_1	Copy_2	ng_RNA	CONV>ng RNA	per_ng_1	per_ng_2	Mean	Stdev	Coeff_pct	CT3	Copy_3	per_ng_3
5/22/2019	DV	AV4	1WO	1	W	O	NA	0.3245	-3.285	0	0.998	26.27	26.86	8.77E+02	5.80E+02		8.4	104.39	69.05	89.71	18.42	0.21	26.39	8.04E+02	9.57E+01
5/22/2019	DV	AV4	3WO	3	W	O	NA	0.3245	-3.285	0	0.998	23.56	23.72	5.86E+03	5.23E+03		11.85	494.26	440.93	459.75	29.93	0.07	23.71	5.26E+03	4.44E+02
9/24/2019	DV	AV4	10WO	10	W	O	NA	0.1968	-3.324	35.6	0.997	21.58	21.41	1.72E+04	1.92E+04		10	1716	1920	1818	144	0.08			
7/5/2019	DV	AV4	7WO	7	W	O	NA	0.5126	-3.254	37.18	0.999	22.95	22.83	2.52E+04	2.74E+04		10	2522	2739	2631	153	0.06			
11/11/2019	DV	AV4	11WO	11	W	O	NA	0.6527	-3.162	36.57	0.997	20.78	20.47	9.88E+04	1.23E+05		10	9878	12340	11109	1741	0.16			
11/11/2019	DV	AV4	12WO	12	W	O	NA	0.6527	-3.162	36.57	0.997	18.97	18.83	3.68E+05	4.10E+05		10	36780	40960	38870	2956	0.08			
11/11/2019	DV	AV4	13WO	13	W	O	NA	0.6527	-3.162	36.57	0.997	18.83	18.87	4.07E+05	3.97E+05		10	40690	39700	40195	700	0.02			
9/24/2019	DV	AV4	9WO	9	W	O	NA	0.1968	-3.324	35.6	0.997	14.96	14.86	1.68E+06	1.80E+06		10	167700	179500	173600	8344	0.05			
5/22/2019	DV	AV4	4WT	4	W	T	NA	0.3245	-3.285	0	0.998	35.25	NA	1.61E+00	NA		11.85	0.14	  	0.53	0.55	1.05	32.53	1.09E+01	9.16E-01
7/5/2019	DV	AV4	8WT	8	W	T	NA	0.5126	-3.254	37.18	0.999	32.93	33.35	2.16E+01	1.61E+01		10	2.2	1.6	1.9	0.4	0.21			
11/11/2019	DV	AV4	12WT	12	W	T	NA	0.6527	-3.162	36.57	0.997	26.6	26.53	1.42E+03	1.50E+03		10	142	150	146	5	0.03			
9/24/2019	DV	AV4	9WT	9	W	T	NA	0.1968	-3.324	35.6	0.997	24.22	24.31	2.75E+03	2.58E+03		10	275	258	266	12	0.05			
9/24/2019	DV	AV4	10WT	10	W	T	NA	0.1968	-3.324	35.6	0.997	23.73	23.93	3.87E+03	3.35E+03		10	387	335	361	36	0.1			
11/11/2019	DV	AV4	11WT	11	W	T	NA	0.6527	-3.162	36.57	0.997	25.14	25.09	4.13E+03	4.28E+03		10	413	428	420	10	0.02			
11/11/2019	DV	AV4	13WT	13	W	T	NA	0.6527	-3.162	36.57	0.997	24.86	24.95	5.07E+03	4.73E+03		10	507	473	490	25	0.05			
5/22/2019	DV	AV4	3WT	3	W	T	NA	0.3245	-3.285	0	0.998	22.4	22.41	1.32E+04	1.31E+04		11.85	1113.92	1102.11	1119.55	20.83	0.02	22.36	1.35E+04	1.14E+03
7/5/2019	DV	AV4	7WT	7	W	T	NA	0.5126	-3.254	37.18	0.999	20.7	21.44	1.24E+05	7.35E+04		10	12360	7345	9853	3546	0.36			
9/24/2019	DV	AV4	10WU	10	W	U	NA	0.1968	-3.324	35.6	0.997	23.41	23.5	4.80E+03	4.51E+03		10	480	451	466	21	0.04			
11/11/2019	DV	AV4	11WU	11	W	U	NA	0.6527	-3.162	36.57	0.997	23.6	23.67	1.27E+04	1.20E+04		10	1265	1202	1234	45	0.04			
11/11/2019	DV	AV4	13WU	13	W	U	NA	0.6527	-3.162	36.57	0.997	22.62	22.73	2.58E+04	2.39E+04		10	2577	2392	2485	131	0.05			
11/11/2019	DV	AV4	12WU	12	W	U	NA	0.6527	-3.162	36.57	0.997	22.38	22.48	3.09E+04	2.86E+04		10	3086	2863	2975	158	0.05			
9/24/2019	DV	AV4	9WU	9	W	U	NA	0.1968	-3.324	35.6	0.997	20.17	20.29	4.54E+04	4.19E+04		10	4535	4190	4363	244	0.06			
